Grant Years,State Programs,Batch Year,County Number,County Name,Total Students Awarded,Total Dollars Awarded,State Name,GNIS Number,GEO Coordinates,Grant Year End Date
2019-20,Last Dollar Scholarship,20,43,Harrison,15,33725,Iowa,465231,POINT (-95.8169209 41.6828528),2020
2019-20,Educational Training Voucher,20,8,Boone,0,0,Iowa,465197,POINT (-93.931671 42.0365493),2020
2019-20,Futue Ready Grant,20,41,Hancock,0,0,Iowa,465229,POINT (-93.7342723 43.0818861),2020
2019-20,Educational Training Voucher,20,23,Clinton,2,10000,Iowa,465211,POINT (-90.5319724 41.8980358),2020
2019-20,Iowa Tuition Grant,20,20,Clarke,38,194811,Iowa,465209,POINT (-93.78515790000002 41.0290323),2020
2019-20,National Guard Educational Assistance,20,47,Ida,1,1496,Iowa,465235,POINT (-95.5134962 42.3868747),2020
2019-20,Vocational Technical Tuition Grant,20,31,Dubuque,72,45577,Iowa,465219,POINT (-90.8824564 42.468832),2020
2019-20,GEAR UP Iowa Scholarship,20,52,Johnson,0,0,Iowa,465240,POINT (-91.5880849 41.6715511),2020
2019-20,Iowa Tuition Grant,20,80,Ringgold,19,81278,Iowa,465268,POINT (-94.2439719 40.7352023),2020
2019-20,Last Dollar Scholarship,20,15,Cass,33,48225,Iowa,465204,POINT (-94.9278266 41.3314876),2020
2019-20,All Iowa Opportunity Scholarship,20,85,Story,4,17632,Iowa,465273,POINT (-93.4650448 42.0362415),2020
2019-20,GEAR UP Iowa Scholarship,20,57,Linn,9,4050,Iowa,465245,POINT (-91.5989646 42.0789478),2020
2019-20,National Guard Educational Assistance,20,76,Pocahontas,3,13254,Iowa,465264,POINT (-94.67874660000001 42.73413510000001),2020
2019-20,Vocational Technical Tuition Grant,20,62,Mahaska,21,14888,Iowa,465250,POINT (-92.6409094 41.3352035),2020
2019-20,Last Dollar Scholarship,20,30,Dickinson,33,113513,Iowa,465218,POINT (-95.1508301 43.3779848),2020
2019-20,National Guard Educational Assistance,20,15,Cass,8,37320,Iowa,465204,POINT (-94.9278266 41.3314876),2020
2019-20,Governor Terry E. Branstad Iowa State Fair Scholarship,20,85,Story,0,0,Iowa,465273,POINT (-93.4650448 42.0362415),2020
